Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
2005,7,26,4,8,37.1,,,"MONTANA:  DILLON, SILVER STAR, TWIN BRIDGES",45.365,-112.615,13,5.6,6,,,,,,,,1,,,,,,,,,,,,1,,,,
2006,10,15,17,7,49.2,3017,,HAWAIIAN ISLANDS,19.878,-155.935,39,6.7,8,,,,,,3,73,4,,,,,,,,,,3,73,4,,,,
2007,4,13,5,42,23,,,"MEXICO:  GUERRERO, ATOYAC",17.302,-100.198,34,6,5,,,,,,,,1,2,1,,,,,,,,,,1,2,1,,
2007,5,8,15,46,49.1,,,MONTANA:  SHERIDAN,45.394,-112.13,14,4.5,5,,,,,,,,1,,,,,,,,,,,,1,,,,
2007,7,20,11,42,22.3,,,CALIFORNIA:  MONTCLAIR,37.804,-122.193,5,4.2,,,,,,,,,1,,,,,,,,,,,,1,,,,
2007,8,2,3,21,42.8,3156,,ALASKA:  ALEUTIAN ISLANDS,51.307,-179.971,21,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
2007,8,6,8,48,40,,,UTAH:  HUNTINGTON,39.465,-111.237,2,4.2,,9,1,,,,1,,,,,,,9,1,,,,1,,,,,,
2007,8,17,0,38,56,,,UTAH,39.464,-111.207,0,1.6,,3,1,,,6,1,,,,,,,3,1,,,6,1,,,,,,
2007,10,31,3,4,54.8,,,CALIFORNIA:  SAN JOSE,37.434,-121.774,10,5.6,,,,,,,,,1,,,,,,,,,,,,1,,,,
2008,2,9,7,12,5.8,,,MEXICO:  BAJA CALIFORNIA,32.456,-115.315,3,5.1,,,,,,,,,1,,,,,,,,,,,,1,,,,
